"Genus","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Candidatus Korarchaeum",0.395462072715589,0.407170728948708,0.0205575199407943,0.303430279307572,0.534286451232544,0.285181403891015,0.723302570522001,0.408753911352083,0.217866785140631,0.238736001389009,0.489633753952044,0.350354734168345,0.147596029666802,0.298400960072654,0.31706081357151,0.0183009406683504,0.200727078082833,0.1279954490507,0.273100924446629,0.581970782691318,0.353933987841327,0.331395237680488,0.423000300193761,0.420707773695023,0.3417132377113,0.230020925514752,0.356312672854065,0.238926286046705,0.44115190243495,0.513674284639763,0.372867909559699,0.77854059027532,0.046916051545102,0.431875240260264,0.527933180994405,0.0489388427594982,0.412301688694804,0.110799546574163,0.675591987479028,0.156351209488285,0.311373834460153,0.317799415602186,0.17627012417251,0.379111439567717,0.352916584093235,0.328723299704149,0.382434193642535,0.17827127795039,0.0753806723955978,0.216877399206229,0.113317538826996,0.353984116886581,0.402196439444299,0.14952791899859,0.475378205307458,0.311507071210516,0.300630572626083,0.47681387946647,0.361278202279665,0.278660998177986,0.10851871947911,0.0384027527093142,0.431875240260264,0.394477317554241,1.03026646220329,0.282373945082822,0.490488196195278,0.468260108310599,0.278271931306586,0.368135998303876,0.484394886309671,0.33100615739005,0.139856227797824,0.223116304223931,0.432327958903413,0.251821645288904,0.148591564244624,0.219058050383352,0.0386852183780577,0.356641748670806,0.275578063986107,0.267007634161934,0.27311584208442,0.586096644001086,0.0239200114816055,0.409247319012461,0.157008573494474,0.388745236398334,0.331185777557969,0.0978341954971812,0.358261032103304,0.211606451066822,0.373382011284434,0.114698856175545,0.18765598904089,0.242468327574711,0.581767241005039,0.292661758695334,0.419280619277475,0.510117000895581,0.0547165681768439
"Acidilobus",0.390518796806644,0.282757450658825,0.32892031905271,0.409630877065222,0.60798113416117,0.268070519657554,0.559575054558568,0.385262307251388,0.388742695054851,0.629394912752843,0.792740363541404,0.43333348699769,0.276742555625254,0.791411241931822,0.462516547632667,0.219611288020204,0.535272208220889,0.497760079641613,0.418754750818165,0.692822360346807,0.446465749368471,0.826363765754551,0.500322935713051,0.402805315239915,0.653148087270966,0.178905164289251,0.661723535300406,1.76078284717028,1.66019295827591,0.444878621518366,0.456168187227291,0.33028994738953,0.250218941573877,0.612218747182133,0.401859585533055,0.799334431738471,0.481986481150264,0.581697619514357,0.319029549642875,0.379710080185835,2.11203182288863,0.520837931125804,0.744251635395041,0.58546323578812,2.78804101433656,0.298223199731599,0.533395059554062,0.534813833851169,0.402030252776521,0.477130278253703,0.365134291775875,1.29281155732491,0.508331610964322,0.790361857563977,0.424111928264497,0.73426666785336,1.06974378759448,0.405710055335506,0.695460539388356,0.257225536779679,0,0.145930460295394,0.612218747182133,0.0794433486741179,0.381580171186404,0.628509748732733,1.00618840247536,0.366464432590904,1.0435197423997,1.11597247653374,0.664855726307391,2.85070609017553,0.755223630108249,1.34354817978324,0.445043487106454,0.528013127218671,0.636820989619818,0.236352106992564,1.01871075062219,0.459880149601828,0.223582202856653,0.157948177954947,0.969561239399691,0.619451737562124,0.322920155001674,0.663982895132462,0.285094515029439,0.465316267810127,0.322354156823089,0.293502586491543,0.384221976458616,0.188818064028857,1.11184865582476,0.296634972867788,0.13761439196332,0.134223538478858,0.367584276654925,0.504589239129886,0.576510851506528,0.707643508761164,0.437732545414752
"Caldisphaera",2.10089226130156,0.124413278289883,0.308362799111915,1.24406414516105,0.16581303658941,3.40506596245872,0.737810071936482,0.864491030905554,1.63613683742866,0.0434065457070926,2.02848269494418,0.815957736155226,0.0368990074167005,0.337322824429957,3.04639874483142,0.0366018813367007,0.0892120347034815,0.298656047784968,0.632683808301358,1.15998258046637,1.64706535518317,1.17687795945507,1.13254919084136,0.97568398580335,1.48364101943007,0.453652380876316,0.135738161087263,1.25696002659353,0.942342229461638,0.454051376601219,1.18603728679096,0.0471842781985043,0.735018140873264,2.71939024911133,0.815538570640612,0.244694213797491,3.49004668881095,0.784119868063309,0.878269583722737,0.0446717741395099,1.09584279724736,0.573804500392835,0.156684554820009,1.04135673906575,0.857858773642018,1.46739369867935,1.33348764888515,0.0254673254214842,0.175888235589728,0.108438699603114,1.3472196282765,0.749009870513636,1.12279839344867,0.0427222625710258,0.899490133571955,3.96949010742544,1.22757483822317,1.40116359316901,1.49478856193212,1.42903075988711,0.10851871947911,0.046083303251177,2.71939024911133,0.534188034188034,1.3641491119914,0.842567416779389,1.46229658491863,0.101795675719695,0.3345888697853,0.699651138137733,1.33446042208841,0.864669145835233,0.139856227797824,2.26026516887722,0.712069579370327,0.954485268433751,0,0.536115754885571,0.257901455853718,1.30925062998888,0.821534605845375,0.534015268323869,0.177525297354873,1.47238913005151,0.0837200401856193,1.11916613770755,1.0784009916331,0.995423408353311,1.66917631889216,0.998724079033724,0.856711163725292,0.563198708224003,1.56543865471844,0.415288962014903,0.106338393789838,0.3680322829259,0.156295676687921,1.47340057825927,0.63416193665718,2.17087385343533,0.027358284088422
"Aeropyrum",0.51904397043921,0.192275066448001,0.287805279171121,0.399516534421637,0.128965695125097,0.18821972656807,0.362687535362035,0.615480027438194,0.363111308567718,0.694504731313482,0.489633753952044,0.382624249157535,0.073798014833401,0.901689857610846,0.393874515828526,0.0366018813367007,0.691393268951981,0.113773732489511,0.46427157155927,0.62551961677026,0.48116515994115,0.83273675109456,0.759581184218905,0.568403055949658,0.609893247054345,0.214047250131783,0.492050833941327,0.675226460566775,0.937121496888443,0.266009897402734,0.503768345894486,0.33028994738953,0.328412360815714,0.593235220137725,0.520053581278071,0.27732010897049,0.441337018884579,0.330267879211448,0.367822304294138,0.737084273301914,0.704815191181121,0.198624634751366,0.72466606604254,0.307128254839669,0.906724146824158,0.301612099728549,0.337145933869077,0.305607905057811,0.226142017186793,0.60725671777744,0.241324388242676,0.572017812070345,0.586536474189602,0.576750544708848,0.391487933782612,0.623014142421033,0.666397769321151,0.648299572958797,0.519337415777019,0.321531920974599,0.32555615843733,0.115208258127943,0.593235220137725,0.273942581634889,0.248027111271163,0.569302308634722,0.692184276873711,0.386823567734843,0.904383776746405,0.564732185879768,0.356172710521817,0.314118088135456,0.447539928953036,0.620845368275287,0.521336656324704,0.393979025693931,0.594366256978497,0.190234622701332,0.141845800719545,0.502114040891792,0.0779937916941811,0.406152457598436,0.436985347335072,0.752872111806274,0.143520068889633,0.613870978518692,0.351203388079744,0.447646029792021,0.512234002622991,0.256814763180101,0.244032876939932,0.400424515095679,0.55592432791238,0.474615956588461,0.162635190502105,0.281436451649218,0.309696988992732,0.469267992390794,0.508377750873938,0.690383910986501,0.13679142044211
"Desulfurococcus",1.52747225586396,1.02923712039812,0.698955677987008,0.733289841659966,0.60798113416117,0.461993874303444,0.654910063853731,0.676558198099999,0.533987218481938,0.195329455681917,1.24973186722998,0.594681061943639,3.4131581860448,0.395705620965911,0.766502688479579,2.17781193953369,0.245333095434574,0.483538363080424,0.364134565928839,1.10059780672236,0.59682986185008,1.61236529102238,0.627677864803646,0.86379362045893,0.934304548678997,0.182099899365845,0.678690805436313,1.53224466051691,1.49573988222027,0.261423519861308,1.88417294724316,0.872909146672329,0.688102089328162,0.597981101898827,0.618548577732251,0.391510742075986,0.702654990592553,1.74935437956515,0.716878164491636,0.17868709655804,1.40963038236224,0.242763442473892,0.254612401582514,1.26210517223177,1.08589718182534,0.518501699533348,1.13723852320017,0.458411857586716,0.0753806723955978,0.260252879047474,0.971592971794425,1.24663971599187,0.7932207555707,0.341778100568206,0.619855895155803,1.17037656754808,1.18248025232926,1.3635203921585,0.74513629220181,1.05033760851702,0,0.238097066797748,0.597981101898827,0.0602673679596756,1.53347531295536,0.605737656387344,1.00848040339216,0.794006270613624,0.337901630872283,0.618699766782954,0.740839237885379,0.101328415527566,0.195798718916953,0.940968761292232,0.445043487106454,0.588937718820825,0.318410494809909,0.17294056609212,0.56738320287818,0.459880149601828,0.608351575214613,0.236922266932421,1.05149599202502,0.595626670732812,1.90164091278764,0.396719339859018,0.375994215473608,0.547777378561289,0.794845866139124,0.476941703048758,0.425759487427115,0.133474838365226,0.597411218055095,0.454840291730608,0.25646318502255,0.307415201032222,0.32416881090828,0.539910485868978,0.644643952139117,1.38268555505908,0.711315386298971
"Ignicoccus",0.311426382263526,0.135723576316236,0.308362799111915,0.43997390499598,0.11054202439294,0.171108842334609,0.240410023439977,0.197329474445833,0.111069341444243,0.303845819949648,0.261138002107757,0.262766050626259,0.202944540791853,0.350296779215724,0.364456502198179,0.0732037626734014,0.312242121462185,0.1279954490507,0.295859334817182,0.578011797775051,0.201256581321539,0.201811202433631,0.222871125908541,0.156646511482189,0.233576137169749,0.134178873216938,0.169672701359078,0.431106124823402,0.428100071001963,0.160523213949926,0.380801269337564,0.306697808290278,0.0625547353934693,0.374924659127043,0.248207391064534,0.228381266210992,0.301967433973659,1.59167810174808,0.120105242218494,0.17868709655804,0.610678915646656,0.132416423167577,0.156684554820009,0.259139465020971,0.686829967504527,0.288056499740749,0.161024923638962,0.101869301685937,0.276395798783858,0.325316098809343,0.140597687063124,0.384765344441936,0.268130959629532,0.170889050284103,0.293615950336959,0.298156768158637,0.548650795042602,0.242589517623292,0.270958651709749,0.171483691186453,0,0.261138718423337,0.374924659127043,0.0465702388779312,0.193174961663117,0.2049488311085,0.650928260371304,0.0203591351439391,0.410782374785913,0.425958406414432,0.308683015785575,0.0979508016766475,0.167827473357389,0.543239697240876,0.190732923045623,0.284314760810053,0.318410494809909,0.103764339655272,0.361062038195206,0.244018038564235,0.109191308371854,0.150426836147569,0.150213713146431,0.243015681658987,0.263120126297661,0.446831256472789,0.190063010019626,0.259163490932223,0.154553362860385,0.248661913555335,0.238840688068869,0.0651096772513299,0.373382011284434,0.209622047493237,0.143869591598016,0.103914997532019,0.179450591752798,0.35321246739092,0.26729139478939,0.354780620923619,0.218866272707376
"Staphylothermus",1.73508984403965,0.938754736187298,0.185017679467149,1.41095079878021,0.33162607317882,2.17878592572736,0.77511507557372,1.08061378863194,0.909914220293223,0.130219637121278,1.1051733303489,0.848227251144415,0.129146525958452,0.486523304466284,1.595110072401,0.0549028220050511,0.156121060731093,0.113773732489511,0.600822033782584,0.823468862583633,1.1358273727457,0.811493466627862,1.25080733928263,0.957781527348243,1.55284876377667,0.744373272846349,0.407214483261788,1.75299177262528,0.845758676857537,0.756752294335365,0.955969853232844,0.0943685563970085,0.359689728512448,2.01225386670716,1.21739815617367,0.26100716138399,1.9221388585631,0.739373897331436,0.649318965743733,0.26803064483706,0.71205644314531,0.573804500392835,0.293783540287516,0.969373554337707,0.703118425231907,1.1793371989386,0.830284762513398,0.0254673254214842,0.326649580380924,0.281940618968097,0.621147990607235,0.887525394512733,1.05017959188234,0.0854445251420515,1.24437236095187,2.82136404496382,1.04469123987564,0.811420110671011,0.930291370870139,1.11464399271194,0,0.0921666065023541,2.01225386670716,0.682117028270874,0.691614060275358,0.869893927593855,0.944304377721751,0.101795675719695,0.477037596525576,0.664957693271399,1.45318465892901,0.351271840495563,0.223769964476518,1.33869782534359,0.839224861400743,0.771711493627288,0.191046296885945,0.720585692050499,0.232111310268346,1.24355346576005,0.790337089167702,0.398631115791057,0.368706386813967,1.20078336819735,0.227240109075252,0.964654394815087,0.983369486623283,0.971863090995836,0.922904366794872,0.62369299629453,1.03324558534141,0.520877418010639,1.19482243611019,0.794981727285671,0.11884879305923,0.381021657617402,0.263387158862978,1.68028216630252,0.985309455302065,1.22543144200104,0.0820748522652659
"Thermogladius",0.425121728169258,0.067861788158118,0.164460159526355,0.2124011955153,0.350049743910977,0.0684435369338436,0.188597518388258,0.291295890848611,0.0897098527049657,0.260439274242556,0.130569001053878,0.225886604924328,0.129146525958452,0.379488177483701,0.2010230931407,0.109805644010102,0.200727078082833,0.952855009599659,0.118343733926873,0.581970782691318,0.249835756123289,0.399373747973922,0.131903319415259,0.18350019916485,0.272505493364708,0.028752615689344,0.135738161087263,1.27513920053187,0.59777387963079,0.0687956631213968,0.126933756445855,0,0.0312773676967346,0.308482314471617,0.26790639035537,0.0978776855189964,0.284546235859794,0.375013849943322,0.168897996869757,0.13401532241853,0.412751361958807,0.357524342552459,0.254612401582514,0.124770853528616,0.719406882959287,0.0542223999511998,0.306953760686771,3.59089288442928,0.251268907985326,0.347003838729966,0.193059510594141,0.751574972809916,0.223442466357944,0.14952791899859,0.125835407287268,0.209154747812775,0.433409075535937,0.121294758811646,0.176123123611337,0.300096459576292,0,0.0998471570442169,0.308482314471617,0.00821827744904668,0.221793474502097,0.259601852737433,0.474444189777676,0.101795675719695,0.331276108698317,1.27980263284698,0.261193321049332,0.084440346272972,0.279712455595648,0.788182596443235,0.24795279995931,0.142157380405027,0.191046296885945,0.0691762264368479,0.180531019097603,0.178320874335403,0.0155987583388362,0.0639314053627167,0.204836881563315,0.2287206415614,0.13156006314883,0.30902348578492,0.0413180456564404,0.259163490932223,0.547560485562508,0.228279789493423,0.124612532905497,0.0846425804267288,0.105100121694878,0.454840291730608,0.018765598904089,0.0389681240745071,0.121563304090605,0.237156942391047,0.193917286415832,0.475597805346256,0.109433136353688
"Thermosphaera",0.321312934081416,0.101792682237177,0.061672559822383,0.161829482297372,0.0184236707321567,0.222441495034992,0.174090016973777,0.305390853309027,0.0427189774785551,0.108516364267732,0.172537608535482,0.106028406393052,0.0553485111250507,0.184878855697188,0.263127788582542,0.0549028220050511,0.133818052055222,0.0426651496835668,0.0955853235563202,0.193990260897106,0.0555190569162865,0.127459706800188,0.191032393635892,0.0939879068893136,0.138415488693185,0.0479210261489066,0.0509018104077235,0.0701196709050112,0.120076849183477,0.105486683452808,0.186433954779849,0.235921390992521,0.0625547353934693,0.232548206293988,0.173351193759357,0.081564737932497,0.16259784906274,0.05326901277604,0.0788190652058867,0.17868709655804,0.154480041902711,0.0794498539005464,0.137098985467508,0.143966369456095,0.217179436365068,0.382945699655349,0.0905765195469161,0.0764019762644527,0.0753806723955978,0.0867509596824915,0.0734465529434231,0.156471240073054,0.251372774652687,0.14952791899859,0.181762254970499,0.240305454933827,0.120252229050433,0.1547553819321,0.19418703372532,0.228644921581937,0.10851871947911,0.0307222021674514,0.232548206293988,0.0602673679596756,0.0739311581673658,0.150295809479567,0.148980059592024,0.101795675719695,0.205391187392956,0.0424030992810747,0.261193321049332,0.027020910807351,0.139856227797824,0.135809924310219,0.203448451248665,0.125910822644452,0.106136831603303,0.0922349685824638,0.0644753639634296,0.201784147274272,0.0363971027906179,0.0714527471700951,0.040967376312663,0.157245441073462,0.179400086112041,0.108575819329837,0.095031505009813,0.141361904144849,0.10156363845111,0.134522018808624,0.129804721776559,0.0651096772513299,0.398274145370063,0.0435064626872755,0.0875727948857488,0.0562872903298435,0.0694647451946315,0.121101417391173,0.172953255451958,0.118899451336564,0.0547165681768439
"Hyperthermus",0.197731036357794,0.418481026975061,0.0822300797631774,0.227572709480679,0.128965695125097,0.0798507930894842,0.431080042030304,0.169139549525,0.0939817504528212,0.151922909974824,0.387043824552568,0.212056812786104,0.202944540791853,0.282183516590445,0.24188144540507,0.146407525346803,0.245333095434574,1.12351560833393,0.218480739557303,0.348390672631537,0.226702815741503,0.469476586714025,0.272903419479846,0.246158803757726,0.475803242382823,0.105426257527595,0.0509018104077235,1.12191473448018,0.751785490540033,0.119245816077088,0.249900833002777,1.60426545874914,0.735018140873264,0.166105861638563,0.299424789220708,0.179442423451493,0.209054377366379,0.368621568410197,0.243963773256316,0.13401532241853,0.89791524355951,0.0926914962173042,0.195855693525011,0.273536101966581,0.63253510841326,0.196556199823099,0.311985789550489,0.0509346508429685,0.125634453992663,0.347003838729966,0.390315967070763,0.720793745254561,0.368680069490607,0.192250181569616,0.228367961373191,0.445010101729309,0.455956368482893,0.250954673403405,0.289022561823732,0.164338537387017,0.10851871947911,0.184333213004708,0.166105861638563,0.290379136532983,0.321958269438529,0.2459385973302,0.403392161356865,0.0407182702878782,0.278271931306586,0.335369967041227,0.242197443154835,0.124971712483999,0.139856227797824,0.938543584072406,0.216163979451706,0.308684597450915,0.212273663206606,0.11529371072808,0.0773704367561155,0.239325383976462,0.119590480597744,0.169230190666015,0.109246336833768,0.195365548000362,0.0598000287040138,0.296495506631477,0.144613159797542,0.306284125647173,0.10156363845111,0.134522018808624,0.212879743713557,0.208350967204256,0.262750304237194,0.0632821275451281,0.0938279945204451,0.0562872903298435,0.0839365671101798,0.196789803260656,0.136266201265179,0.602168189027115,0.109433136353688
